Code,Town,Name
JPR145,Ramganj Mandi ,Ramganj Mandi
JPR274,Renwal Manji,Phagi - Renwal
JPR274,Phagi,Phagi - Renwal
JPR274,KHANDAR,Khandar
JPR182,Bari ,
SID006,Alwar ,
SID006,Alwar ,
JPR145,Chhabra ,
SID006,Ramgarh ,Ramgarh
JPR274,ALIGARH,Aligarh - Uniara
JPR259,N/A,
JPR182,Dhaulpur  ,
JPR120,N/A,
JPR120,N/A,
JPR120,N/A,
SID006,Alwar ,Alwar
SID006,Alwar ,Alwar
SID006,Alwar ,
SID006,Tehela,Rajgarh Machari
JPR274,Dooni,
JPR274,Dooni,Deoli - Dooni
JPR274,RANOLI,Phagi - Renwal
JPR274,Phagi,Phagi - Renwal
JPR120,Kota   ,
JPR145,N/A,
SID006,Rajgarh,Rajgarh Machari
JPR145,Ramganj Mandi ,Ramganj Mandi
SID006,Bhiwadi ,Bhiwadi
JPR274,Malpura    ,Diggi - Malpura
JPR156,Mandan,Mandan
JPR274,Tonk  ,Tonk
JPR274,Sawai Madhopur ,Sawaimadhopur
JPR182,Marena,Rajakhera
JPR182,N/A,
SID006,Dhelawas,
SID006,Alwar ,
SID006,Alwar ,
JPR182,Rajakhera ,Rajakhera
JPR120,Khatauli,
JPR182,Halena ,Bhusawar
SID006,Alwar ,
JPR182,Karauli ,
JPR145,Chhabra ,
SID006,Khairthal ,
JPR259,Kaladera,Jalsu - Kaladera
JPR259,Itawa,Govindgarh - Itawa
JPR145,Baran ,Baran
JPR145,N/A,
JPR145,Baran ,Baran
JPR145,Samraniya,Shahbad
JPR274,Phagi,Phagi - Renwal
JPR274,KHANDAR,Khandar
JPR156,Paota,
JPR182,N/A,
JPR120,N/A,
JPR120,Kota   ,
JPR145,Khanpur,Khanpur
JPR156,Gathwadi,Manoharpur - Gathwadi
JPR120,Kaithoon ,Kaithoon - Sangod
JPR145,N/A,
JPR182,Deeg ,
JPR120,jagpura,Ranpur
JPR145,Khanpur,Khanpur
JPR259,N/A,
JPR120,N/A,
JPR182,Pahari,Pahari - Seekri
JPR120,Kota   ,
JPR145,N/A,
JPR145,N/A,
JPR145,N/A,
JPR182,Nadbai ,Nadbai
JPR182,Nadbai ,Nadbai
JPR182,Nadbai ,Nadbai
JPR274,Nadoti,Nadoti
JPR182,Nagar ,
JPR182,Nagar ,Pahari - Seekri
JPR182,Nagar ,Pahari - Seekri
JPR182,Nagar ,Pahari - Seekri
JPR120,Nainwa ,
JPR120,Nainwa ,
JPR274,Nainwa ,Nainwa
JPR259,Narena,Narena - Dudu
JPR259,Narena,Narena - Dudu
SID006,Narayanpur,Thanagazi - Narayanpur
SID006,Narayanpur,Thanagazi - Narayanpur
SID006,Naugawan,
SID006,Naugawan,Ramgarh
SID006,Govindgarh ,Govindagarh - Baroda Meo
JPR156,Neemrana ,Behror
JPR156,Niwai ,
JPR156,Niwai ,
JPR156,Niwai ,Chaksu - Niwai
JPR156,Niwai ,Chaksu - Niwai
JPR156,Niwai ,
JPR156,Niwai ,Chaksu - Niwai
JPR156,Niwai ,Chaksu - Niwai
JPR156,Niwai ,Chaksu - Niwai
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
JPR182,Pahari,Pahari - Seekri
JPR156,Paota,Paota
JPR156,Paota,
JPR274,Phagi,
JPR274,Phagi,Phagi - Renwal
JPR274,Phagi,Phagi - Renwal
JPR274,Phagi,Phagi - Renwal
JPR274,Phagi,Phagi - Renwal
JPR274,Phagi,Phagi - Renwal
JPR259,N/A,
JPR259,Phulera   ,Phulera - Sambhar
JPR259,Phulera   ,Phulera - Sambhar
JPR259,Phulera   ,Phulera - Sambhar
JPR259,Phulera   ,Phulera - Sambhar
JPR259,Phulera   ,Phulera - Sambhar
JPR259,N/A,
JPR259,Phulera   ,Phulera - Sambhar
JPR259,Phulera   ,Phulera - Sambhar
JPR259,Phulera   ,Phulera - Sambhar
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
JPR182,Rajakhera ,
JPR182,Rajakhera ,Rajakhera
JPR182,Rajakhera ,Rajakhera
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
SID005,#REF!,
